,Order Date,Region,State,Category,Product,Quantity,Unit Price,Revenue
0,2021-01-01,East,Massachusetts,Bars,Carrot,33,596,19668
1,2021-01-08,East,Massachusetts,Crackers,Whole Wheat,87,255,22185
2,2021-01-15,West,Texas,Cookies,Chocolate Chip,58,367,21286
3,2021-01-22,East,New York,Cookies,Chocolate Chip,82,680,55760
4,2021-01-29,East,Massachusetts,Cookies,Arrowroot,38,317,12046
5,2021-02-05,East,Massachusetts,Bars,Carrot,54,561,30294
6,2021-02-12,East,Massachusetts,Crackers,Whole Wheat,149,118,17582
7,2021-02-19,West,Texas,Bars,Carrot,51,279,14229
8,2021-02-26,East,New York,Bars,Carrot,100,449,44900
9,2021-03-05,East,New York,Snacks,Potato Chips,28,453,12684
10,2021-03-12,East,Massachusetts,Cookies,Arrowroot,36,412,14832
11,2021-03-19,East,Massachusetts,Cookies,Chocolate Chip,31,134,4154
12,2021-03-26,East,Massachusetts,Crackers,Whole Wheat,28,113,3164
13,2021-04-02,West,Texas,Bars,Carrot,44,58,2552
14,2021-04-09,East,New York,Bars,Carrot,23,80,1840
15,2021-04-16,East,New York,Snacks,Potato Chips,27,623,16821
16,2021-04-23,East,Massachusetts,Cookies,Arrowroot,43,199,8557
17,2021-04-30,East,Massachusetts,Cookies,Oatmeal Raisin,123,333,40959
18,2021-05-07,West,Texas,Bars,Bran,42,181,7602
19,2021-05-14,West,Texas,Cookies,Oatmeal Raisin,33,425,14025
20,2021-05-21,East,New York,Cookies,Chocolate Chip,85,331,28135
21,2021-05-28,West,California,Cookies,Oatmeal Raisin,30,140,4200
22,2021-06-04,East,Massachusetts,Bars,Carrot,61,535,32635
23,2021-06-11,East,Massachusetts,Crackers,Whole Wheat,40,139,5560
24,2021-06-18,West,Texas,Cookies,Chocolate Chip,86,298,25628
25,2021-06-25,East,New York,Bars,Carrot,38,449,17062
26,2021-07-02,East,New York,Snacks,Potato Chips,68,632,42976
27,2021-07-09,West,California,Cookies,Chocolate Chip,39,422,16458
28,2021-07-16,East,Massachusetts,Bars,Bran,103,485,49955
29,2021-07-23,East,Massachusetts,Cookies,Oatmeal Raisin,193,697,134521
30,2021-07-30,West,Texas,Bars,Carrot,58,357,20706
31,2021-08-06,West,Texas,Snacks,Potato Chips,68,456,31008
32,2021-08-13,East,New York,Bars,Carrot,91,579,52689
33,2021-08-20,East,New York,Crackers,Whole Wheat,23,556,12788
34,2021-08-27,West,California,Snacks,Potato Chips,28,91,2548
35,2021-09-03,East,Massachusetts,Bars,Carrot,48,195,9360
36,2021-09-10,East,Massachusetts,Snacks,Potato Chips,134,470,62980
37,2021-09-17,West,Texas,Bars,Carrot,20,310,6200
38,2021-09-24,East,New York,Bars,Carrot,53,637,33761
39,2021-10-01,East,New York,Snacks,Potato Chips,64,462,29568
40,2021-10-08,West,California,Cookies,Chocolate Chip,63,626,39438
41,2021-10-15,East,Massachusetts,Bars,Bran,105,157,16485
42,2021-10-22,East,Massachusetts,Cookies,Oatmeal Raisin,138,307,42366
43,2021-10-29,West,Texas,Bars,Carrot,25,569,14225
44,2021-11-05,West,Texas,Crackers,Whole Wheat,21,671,14091
45,2021-11-12,East,New York,Bars,Carrot,61,293,17873
46,2021-11-19,East,New York,Snacks,Potato Chips,49,129,6321
47,2021-11-26,West,California,Cookies,Chocolate Chip,55,359,19745
48,2021-12-03,East,Massachusetts,Cookies,Arrowroot,27,631,17037
49,2021-12-10,East,Massachusetts,Bars,Carrot,58,665,38570
50,2021-12-17,East,Massachusetts,Crackers,Whole Wheat,33,376,12408
51,2021-12-24,West,Texas,Cookies,Oatmeal Raisin,288,314,90432
52,2021-12-31,East,New York,Cookies,Chocolate Chip,76,401,30476
53,2022-01-07,West,California,Bars,Carrot,42,644,27048
54,2022-01-14,West,California,Crackers,Whole Wheat,20,503,10060
55,2022-01-21,East,Massachusetts,Bars,Carrot,75,93,6975
56,2022-01-28,East,Massachusetts,Crackers,Whole Wheat,38,184,6992
57,2022-02-04,West,Texas,Bars,Carrot,306,376,115056
